word,part_of_speech,definition,length
axiomatic,adjective,Self-evident or unquestionable.,9
enigma,noun,"Something or someone puzzling, mysterious or inexplicable.",6
epistemology,noun,"The branch of philosophy dealing with the study of knowledge; theory of knowledge, asking such questions as ""What is knowledge?"", ""How is knowledge acquired?"", ""What do people know?"", ""How do we know what we know?"".",12
eschatology,noun,"System of doctrines concerning final matters, such as death.",11
extemporaneous,adjective,Without preparation or advanced thought; offhand.,14
homogeneous,adjective,"Of the same kind; alike, similar.",11
idiosyncratic,adjective,Peculiar to a specific individual; eccentric.,13
ineffable,adjective,Beyond expression in words; unspeakable.,9
metaphysical,adjective,Of or pertaining to metaphysics.,12
ostracize,verb,To ban a person from a city for five or ten years through the procedure of ostracism.,9
paradigm,noun,"A pattern, a way of doing something, especially a pattern of thought, a system of beliefs, a conceptual framework.",8
paradoxical,adjective,Having self-contradictory properties.,11
perfunctory,adjective,"Done only to fulfil a duty, or in a careless or indifferent manner; performed mechanically and as a thing of rote.",11
perspicacious,adjective,Of acute discernment; having keen insight; mentally perceptive.,13
polyglot,noun,"One who has mastered, notably speaks, several languages.",8
polyglot,adjective,"Versed in, or speaking, many languages.",8
quixotic,adjective,"Possessing or acting with the desire to do noble and romantic deeds, without thought of realism and practicality; exceedingly idealistic.",8
resplendent,adjective,"Shiny and colourful, and thus pleasing to the eye.",11
reticent,adjective,Keeping one's thoughts and opinions to oneself; reserved or restrained.,8
ubiquitous,adjective,Being everywhere at once: omnipresent.,10
vexatious,adjective,Causing vexation or annoyance; teasing; troublesome.,9
abstruse,adjective,Difficult to comprehend or understand.,8
acrimonious,adjective,"Harsh and sharp, or bitter and not pleasant to the taste; acrid, pungent.",11
anachronistic,adjective,Erroneous in date; containing an anachronism; in a wrong time; not applicable to or not appropriate for the time.,13
antithesis,noun,A proposition that is the diametric opposite of some other proposition.,10
auspicious,adjective,Of good omen; indicating future success.,10
cacophony,noun,A mix of discordant sounds; dissonance.,9
capricious,adjective,"Impulsive and unpredictable; determined by chance, impulse, or whim",10
circumlocution,noun,A roundabout or indirect way of speaking; the use of more words than necessary to express an idea.,14
cogent,adjective,Reasonable and convincing; based on evidence.,6
convivial,adjective,"Having elements of a feast or of entertainment, especially when it comes to eating and drinking, with accompanying festivity",9
credulous,adjective,Excessively ready to believe things; gullible.,9
dearth,noun,A period or condition when food is rare and hence expensive; famine.,6
didactic,noun,A treatise on teaching or education.,8
didactic,adjective,"Instructive or intended to teach or demonstrate, especially with regard to morality.",8
discombobulate,verb,To throw into a state of confusion; to befuddle or perplex.,14
disparage,noun,Inequality in marriage; marriage with an inferior.,9
disparage,verb,To match unequally; to degrade or dishonor.,9
ebullient,adjective,Enthusiastic; high-spirited.,9
eclectic,noun,Someone who selects according to the eclectic method.,8
eclectic,adjective,"Selecting a mixture of what appears to be best of various doctrines, methods or styles.",8
effervescent,adjective,(of a liquid) Giving off bubbles; fizzy.,12
equivocate,verb,"To use words of equivocal or doubtful signification; to express one's opinions in terms which admit of different senses, with intent to deceive; to use ambiguous expressions with a view to mislead; as, to equivocate is the work of duplicity.",10
euphemism,noun,"The use of a word or phrase to replace another with one that is considered less offensive, blunt or vulgar than the word or phrase which it replaces.",9
evocative,adjective,"That evokes (brings to mind) a memory, mood, feeling or image; redolent or reminiscent",9
expeditious,adjective,"Fast, prompt, speedy.",11
furtive,adjective,Stealthy.,7
gregarious,adjective,(of a person) Describing one who enjoys being in crowds and socializing.,10
hapless,adjective,Very unlucky; ill-fated.,7
harangue,noun,"An impassioned, disputatious public speech.",8
harangue,verb,To give a forceful and lengthy lecture or criticism to someone.,8
hubris,noun,"Excessive pride, presumption or arrogance (originally toward the gods).",6
ineffable,adjective,Beyond expression in words; unspeakable.,9
inexorable,adjective,Impossible to prevent or stop; inevitable.,10
inscrutable,noun,"One who or that which is inscrutable; a person, etc. that cannot be comprehended.",11
inscrutable,adjective,"Difficult or impossible to comprehend, fathom or interpret.",11
languid,adjective,"Lacking enthusiasm, energy, or strength; drooping or flagging from weakness, fatigue, or lack of energy",7
malaise,noun,"A feeling of general bodily discomfort, fatigue or unpleasantness, often at the onset of illness.",7
meticulous,adjective,"Characterized by very precise, conscientious attention to details.",10
nascent,adjective,Emerging; just coming into existence.,7
nefarious,adjective,"Sinful, villainous, criminal, or wicked, especially when noteworthy or notorious for such characteristics.",9
obfuscate,verb,To make dark; overshadow,9
obfuscate,adjective,Obfuscated; darkened; obscured.,9
obsequious,adjective,Obedient; compliant with someone else's orders or wishes.,10
ostentatious,adjective,Of ostentation.,12
palpable,adjective,"Capable of being touched, felt or handled; touchable, tangible.",8
paragon,noun,"A person of preeminent qualities, who acts as a pattern or model for others.",7
paragon,verb,To compare; to parallel; to put in rivalry or emulation with.,7
pedantic,adjective,"Like a pedant, overly concerned with formal rules and trivial points of learning.",8
pernicious,adjective,Causing much harm in a subtle way.,10
pique,noun,"A feeling of enmity; ill-feeling, animosity; a transient feeling of wounded pride.",5
pique,verb,To wound the pride of; to excite to anger.,5
placate,verb,To calm; to bring peace to; to influence someone who was furious to the point that they become content or at least no longer irate.,7
precarious,adjective,Dangerously insecure or unstable; perilous.,10
propriety,noun,The particular character or essence of someone or something; individuality.,9
pugnacious,adjective,Naturally aggressive or hostile; combative; belligerent; bellicose.,10
